영화제목,영화링크,평점,댓글
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,2,"오글거리는 대사, 억지 신파, 캐릭터의 역할 모두 엉망."
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,10,연기가 아주 좋았어요 ㅎㅎ
엑시트,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=174903&target=after,10,킬링타임용 ㅋ 완전 재밌음
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,10,
레토,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=173840&target=after,10,
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,10,"바다 속에서 전쟁씬이 임팩트가 있었고, 스토리 또한 짜임새 있어 보는 내내 흥미로웠습니다."
소년시절의 너,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=192066&target=after,10,그냥 너무 좋았다.오글거릴 수 있는 장면들도 배우들의 연기가 커버쳤다
프로메테우스,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=85870&target=after,10,진화와 창조라는 다소 무거운 주제를 SF와 공포로 잘 버무린 역작. 영화 프로메테우스는 불이 아닌 인류 기원의 비밀을 훔쳤다. 평점 교정용 10점!!
거인,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=117061&target=after,10,최우식씨 연기를 보고 마음에 여운이 남네요..살기위해서 몸부림치는 소년의 마음을 잘표현한거같아요..  앞으로 정말 멋진배우가될거같아요..응원합니다
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,10,아니 반도 존1잼인데 왜 다들 노잼이래요..?이해 1도 안가는디 ㅜ 진짜 재밌어요4dx로 봤는데 재밌어요 ㄹㅇ로
프리즈너,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=194285&target=after,1,ㅎㅎ 이렇게 만들 수도..
82년생 김지영,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=179482&target=after,10,개봉했을 때 가족들이랑 다 같이 보러 갔었습니다. 이런 저런 말이 많던데 그냥 슬픈 영화였습니다. 공감도 가고요
알라딘,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=163788&target=after,10,사랑해요 알라딘~♥ 인생영화 입니다!!
알라딘,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=163788&target=after,10,사랑해요 알라딘~♥ 인생영화 입니다!!
군도:민란의 시대,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=99752&target=after,1,계집애들 얼굴빠는 댓글좀 없앴으면 좋겠다. 영화를 평가해야지 얼굴 얘기만하고 있네 아주 꼴보기 싫어 죽겠음. 아무튼 강동원 얼굴 마담 없었으면 개폭망하고도 남았을 스토리나 연출이나 허접의 끝을 달리는 매우 노잼 영화입니다. 보면서도 시계를 몇 번 봤는지 모르겠네. 이거 볼 시간에 다른 영화 보는 것을 추천드립니다.
로드 무비,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=34447&target=after,9,
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,1,영화보다가 중간에 나오고싶었던적 처음입니다^^ 진짜 내인생 최악 억지감성과 초등학생이 쓴 시나리오같음 ㅋ
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,7,매드맥스랑 좀비영화를 섞은느낌? 재미있어요!
